Site_Name,Site_Long_Name,Site_Longitude,Site_Latitude,Thompson_Vs30,3D_CVM_Vs30,Z1.0,Z2.5
"HLL","North Hollywood",-118.35967,34.17643,311.49,278.8,610.0,1190.0
"LGB","Laguna Bell",-118.14918,33.9753,344.07,270.0,710.0,4520.0
"COO","Compton",-118.21639,33.89604,240.25,220.8,720.0,4280.0
"LAF","La Fresa",-118.33143,33.86889,331.9,295.3,710.0,3420.0
"RPV","Rancho Palos Verdes",-118.40412,33.74346,320.4,364.3,150.0,1540.0
"DLA","Del Amo",-118.09624,33.84822,229.28,210.6,820.0,4850.0
"BRE","Barre Substation",-117.98116,33.80776,229.86,215.0,690.0,4640.0
"STG","Santiago",-117.76856,33.664,293.49,292.2,180.0,1720.0
"PLS","Pleasants Peak",-117.60906,33.7953,706.0,631.8,70.0,1180.0
"OLI","Olinda",-117.92372,33.94539,342.58,315.6,410.0,2560.0
"RIO","Rio Hondo",-117.97956,34.10473,323.4,293.0,350.0,2820.0
"CHN","Chino",-117.68044,33.99879,293.5,263.9,310.0,800.0
"TAB","Table Mountain",-117.68191,34.38245,724.98,652.8,60.0,720.0
"PDU","Padua",-117.63808,34.1207,351.9,344.0,310.0,1040.0
"SVD","Seven Oaks Dam",-117.09822,34.10647,439.31,546.4,80.0,1490.0
"FIL","Filmore Central Park",-118.912,34.39865,351.9,281.4,990.0,6820.0
"LAPD","Lake Palmdale",-118.125,34.557,364.83,399.2,110.0,570.0
"STNI","Seven Ten-Ninety Interchange ",-118.17881,33.93088,236.18,215.2,880.0,5570.0
"BVH","Beverly Hospital",-118.1005,34.015,390.45,340.4,510.0,4600.0
"EMCH","El Monte City Hall",-118.0297,34.0709,227.76,245.6,380.0,3570.0
"SGRTT","San Gabriel River - Two Ten Interchange",-117.9495,34.1321,301.26,290.2,220.0,1850.0
"CSDH","CSU Dominguez Hills",-118.257,33.863,367.78,323.5,530.0,3950.0
"HUMC","Harvard-UCLA Medical Center",-118.2918,33.8306,292.42,264.4,750.0,3340.0
"SGCD","San Gabriel Canyon Dam",-117.8625,34.2058,716.23,535.7,80.0,690.0
"TRA","Torrance Airport",-118.3393,33.804,304.98,271.2,850.0,2200.0
"RHCH","Rolling Hills Estates City Hall",-118.3528,33.7834,343.53,330.9,340.0,1860.0
"MRSD","Morris Dam",-117.8811,34.1749,352.21,383.0,120.0,1110.0
"P14","p14",-118.27574,34.061253,331.87,308.2,310.0,2010.0
"P25","p25",-118.49891,34.07598,353.0,487.3,150.0,450.0
"P24","p24",-118.53032,34.123295,627.36,486.1,150.0,470.0
"P23","p23",-118.54903,34.15379,328.97,321.7,170.0,920.0
"P22","p22",-118.56609,34.18277,288.84,288.9,220.0,2270.0
"P21","p21",-118.58717,34.209946,286.48,269.1,300.0,2370.0
"P20","p20",-118.60878,34.23448,407.51,344.6,340.0,2710.0
"P1","p1",-118.48887,34.3146,300.27,306.6,350.0,4420.0
"P2","p2",-118.46393,34.285625,495.29,455.1,200.0,3480.0
"P3","p3",-118.42409,34.24939,338.39,299.2,390.0,2330.0
"P4","p4",-118.37437,34.216213,301.11,272.2,500.0,1200.0
"P5","p5",-118.33417,34.191063,297.24,267.4,650.0,980.0
"P6","p6",-118.30314,34.16921,303.12,288.9,320.0,890.0
"P7","p7",-118.27466,34.13857,352.46,316.0,220.0,530.0
"P8","p8",-118.251945,34.1073,352.09,326.3,240.0,1240.0
"P9","p9",-118.22514,34.08211,352.58,327.2,310.0,2070.0
"P10","p10",-118.20656,34.056297,365.01,333.9,310.0,2220.0
"P11","p11",-118.197174,34.033783,374.95,338.2,380.0,2390.0
"P12","p12",-118.17989,34.01185,298.92,267.3,540.0,2930.0
"P13","p13",-118.164375,33.99317,258.8,240.2,620.0,3810.0
"P15","p15",-118.48174,34.024624,387.56,322.8,640.0,4750.0
"P16","p16",-118.4468,34.03183,298.23,264.1,690.0,4870.0
"P17","p17",-118.409584,34.03552,384.69,326.2,630.0,4250.0
"P18","p18",-118.35438,34.051228,371.92,329.8,430.0,2530.0
"P19","p19",-118.321785,34.04732,355.49,321.4,340.0,2310.0
"s066","s066",-119.08568,34.20175,228.02,215.7,470.0,2900.0
"s070","s070",-118.98116,34.3598,293.5,260.2,1120.0,6260.0
"s074","s074",-118.87627,34.51776,469.45,458.3,90.0,480.0
"s078","s078",-118.77098,34.67565,386.56,399.2,90.0,410.0
"s082","s082",-118.66531,34.83345,386.75,371.4,140.0,1650.0
"s151","s151",-118.8956,34.11491,351.9,390.5,150.0,480.0
"s155","s155",-118.79083,34.27281,293.5,279.2,310.0,1710.0
"s159","s159",-118.68566,34.43062,350.34,325.4,380.0,4080.0
"s163","s163",-118.58011,34.58835,431.99,462.0,150.0,370.0
"s167","s167",-118.47417,34.746,293.51,302.0,150.0,1230.0
"s236","s236",-118.60087,34.18551,278.6,270.7,240.0,2350.0
"s240","s240",-118.49545,34.34317,377.05,342.6,240.0,2000.0
"s244","s244",-118.38964,34.50074,729.95,486.8,150.0,1110.0
"s248","s248",-118.28344,34.65823,351.9,357.2,120.0,590.0
"s309","s309",-118.4113,34.09791,483.30684379674494,494.1,150.0,430.0
"s313","s313",-118.30562,34.25541,353.08,363.6,100.0,440.0
"s317","s317",-118.19955,34.41283,727.05,542.7,70.0,730.0
"s321","s321",-118.0931,34.57016,374.48,376.5,110.0,560.0
